,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
0,10.351842,-61.460003,304.2,0.56,0.43,1/3/2021,554,N,VIIRS,n,1,292.03,0.82,N,0
2,10.407093,-61.48061,305.55,0.38,0.36,1/4/2021,536,N,VIIRS,n,1,293.51,1.32,N,0
1,10.417019,-61.479012,305.29,0.38,0.36,1/4/2021,536,N,VIIRS,n,1,294.71,0.83,N,2
3,10.623645,-61.455776,310.3,0.46,0.39,1/10/2021,524,N,VIIRS,n,1,290.18,0.71,N,0
4,10.4153,-61.483971,327.14,0.55,0.68,1/10/2021,1806,N,VIIRS,n,1,292.06,2.64,D,0
5,10.579346,-61.389568,340.04,0.54,0.51,1/11/2021,1748,N,VIIRS,n,1,298.63,5.68,D,0
6,10.415857,-61.474632,302.8,0.62,0.71,1/12/2021,624,N,VIIRS,n,1,286.52,1.25,N,0
7,10.413943,-61.279732,330.39,0.42,0.38,1/13/2021,1712,N,VIIRS,n,1,298.13,2.57,D,0
8,10.368029,-61.383278,330.59,0.51,0.41,1/17/2021,1736,N,VIIRS,n,1,299.79,2.26,D,0
9,10.437649,-61.46339,329.97,0.5,0.41,1/17/2021,1736,N,VIIRS,n,1,301.25,1.98,D,0
10,10.437769,-61.462162,333.37,0.5,0.41,1/17/2021,1736,N,VIIRS,n,1,301.3,2.42,D,0
11,10.409734,-61.478512,303.86,0.38,0.59,1/18/2021,612,N,VIIRS,n,1,291.12,1.28,N,2
13,10.404474,-61.462276,301.77,0.38,0.36,1/20/2021,536,N,VIIRS,n,1,290.62,0.55,N,2
12,10.417149,-61.478165,304.66,0.38,0.36,1/20/2021,536,N,VIIRS,n,1,292.88,0.55,N,2
14,10.378039,-61.437027,328.25,0.38,0.59,1/22/2021,454,N,VIIRS,n,1,292.03,1.62,N,0
16,10.54388,-61.455597,333.75,0.51,0.41,1/24/2021,1706,N,VIIRS,n,1,297.81,3.93,D,0
15,10.462028,-61.433926,348.59,0.51,0.41,1/24/2021,1706,N,VIIRS,n,1,300.05,26.73,D,0
17,10.633062,-61.361103,337.37,0.5,0.41,1/24/2021,1706,N,VIIRS,n,1,304.62,5.52,D,0
18,10.404119,-61.459942,311.23,0.4,0.37,1/25/2021,542,N,VIIRS,n,1,292.04,1.04,N,0
20,10.466012,-61.434845,367,0.34,0.56,1/25/2021,1648,N,VIIRS,h,1,293.14,6.68,D,0
19,10.217609,-61.625107,319.89,0.4,0.37,1/25/2021,542,N,VIIRS,n,1,293.64,1.79,N,3
21,10.216775,-61.627403,296.39,0.47,0.39,1/26/2021,524,N,VIIRS,n,1,272.33,0.9,N,3
22,10.216319,-61.626911,306.02,0.61,0.53,1/27/2021,500,N,VIIRS,n,1,292.61,1.32,N,0
23,10.435488,-61.439766,330.81,0.53,0.5,1/27/2021,1748,N,VIIRS,n,1,300.09,2.74,D,0
24,10.198046,-61.644341,333.22,0.42,0.38,1/28/2021,1730,N,VIIRS,n,1,300.41,4.05,D,3
26,10.491533,-61.450298,336.22,0.43,0.38,1/28/2021,1730,N,VIIRS,n,1,301.21,3.77,D,0
25,10.359334,-61.419266,333.6,0.43,0.38,1/28/2021,1730,N,VIIRS,n,1,301.57,3.31,D,0
27,10.219711,-61.01511,332.41,0.41,0.37,1/29/2021,1712,N,VIIRS,n,1,300.11,4.46,D,0
28,10.336666,-61.374599,333.14,0.43,0.38,1/29/2021,1712,N,VIIRS,n,1,302.7,4.16,D,0
30,10.402952,-61.463009,303.34,0.46,0.39,1/30/2021,548,N,VIIRS,n,1,292.86,0.96,N,0
31,10.216637,-61.624847,306.85,0.46,0.39,1/30/2021,548,N,VIIRS,n,1,294.47,1.18,N,3
29,10.409358,-61.479202,306.19,0.46,0.39,1/30/2021,548,N,VIIRS,n,1,294.68,0.96,N,2
32,10.403613,-61.459873,303.95,0.4,0.37,1/31/2021,530,N,VIIRS,n,1,291.36,0.35,N,0
33,10.321832,-61.449417,304.35,0.4,0.37,1/31/2021,530,N,VIIRS,n,1,292.41,0.73,N,0
34,10.387827,-61.407436,341.67,0.34,0.56,2/1/2021,1754,N,VIIRS,n,1,292.27,3.02,D,0
36,10.594939,-61.371674,331.28,0.35,0.56,2/1/2021,1754,N,VIIRS,n,1,295.55,2.32,D,0
35,10.501542,-61.433029,338.19,0.34,0.56,2/1/2021,1754,N,VIIRS,n,1,295.83,3.26,D,0
37,10.359192,-61.017223,332.41,0.53,0.42,2/2/2021,1736,N,VIIRS,n,1,297.85,4.46,D,0
38,10.419177,-61.485771,308.43,0.38,0.36,2/5/2021,536,N,VIIRS,n,1,291.77,0.69,N,2
40,10.322566,-61.450871,307.74,0.38,0.36,2/5/2021,536,N,VIIRS,n,1,291.83,1.46,N,0
39,10.40815,-61.480377,308.37,0.38,0.36,2/5/2021,536,N,VIIRS,n,1,292.14,0.86,N,2
42,10.448335,-61.465206,336.49,0.43,0.62,2/5/2021,1642,N,VIIRS,n,1,293.82,6.56,D,0
41,10.449095,-61.46122,343.63,0.43,0.62,2/5/2021,1642,N,VIIRS,n,1,294.12,9,D,0
43,10.4108,-61.480717,304.85,0.38,0.59,2/7/2021,454,N,VIIRS,n,1,290.93,1.53,N,2
48,10.622319,-61.412533,333.14,0.42,0.45,2/7/2021,1742,N,VIIRS,n,1,298.37,2.15,D,0
44,10.388746,-61.456165,332.29,0.42,0.45,2/7/2021,1742,N,VIIRS,n,1,299.19,2.76,D,0
47,10.606595,-61.402493,340.08,0.42,0.45,2/7/2021,1742,N,VIIRS,n,1,300.51,4.97,D,0
45,10.45692,-61.433151,355.29,0.42,0.45,2/7/2021,1742,N,VIIRS,n,1,303.24,33.36,D,0
46,10.456405,-61.436993,348.93,0.42,0.45,2/7/2021,1742,N,VIIRS,n,1,307.36,33.36,D,0
49,10.409981,-61.481209,303.74,0.49,0.65,2/8/2021,618,N,VIIRS,n,1,290.6,1.01,N,2
53,10.456697,-61.449738,337.98,0.39,0.36,2/8/2021,1724,N,VIIRS,n,1,298.24,3.67,D,0
51,10.394232,-61.462051,335.88,0.39,0.36,2/8/2021,1724,N,VIIRS,n,1,298.91,2.94,D,0
50,10.39476,-61.458515,337.99,0.39,0.36,2/8/2021,1724,N,VIIRS,n,1,300.01,2.94,D,0
52,10.418232,-61.48378,330.86,0.39,0.36,2/8/2021,1724,N,VIIRS,l,1,302.5,1.93,D,2
65,10.687123,-61.224827,327.87,0.49,0.4,2/9/2021,1706,N,VIIRS,n,1,295.69,2.73,D,0
56,10.438374,-61.106716,334.14,0.49,0.4,2/9/2021,1706,N,VIIRS,n,1,298.72,3.33,D,0
55,10.370517,-61.381504,337.73,0.5,0.41,2/9/2021,1706,N,VIIRS,n,1,302.45,7.29,D,0
64,10.571298,-61.360554,336.51,0.5,0.41,2/9/2021,1706,N,VIIRS,n,1,302.71,3,D,0
63,10.58332,-61.241894,338.83,0.49,0.4,2/9/2021,1706,N,VIIRS,n,1,303.05,7.07,D,0
62,10.510194,-61.426739,335.83,0.5,0.41,2/9/2021,1706,N,VIIRS,n,1,303.39,2.14,D,0
54,10.293565,-61.356277,342.13,0.5,0.41,2/9/2021,1706,N,VIIRS,n,1,303.73,7.81,D,0
61,10.510942,-61.422134,334,0.5,0.41,2/9/2021,1706,N,VIIRS,n,1,303.77,2.14,D,0
59,10.447788,-61.454128,334.53,0.51,0.41,2/9/2021,1706,N,VIIRS,n,1,304.27,15.31,D,0
60,10.485395,-61.460453,334.62,0.51,0.41,2/9/2021,1706,N,VIIRS,l,1,305.07,5.15,D,0
58,10.444027,-61.453499,347.16,0.51,0.41,2/9/2021,1706,N,VIIRS,n,1,305.44,15.31,D,0
57,10.421464,-61.449696,344.99,0.51,0.41,2/9/2021,1706,N,VIIRS,n,1,305.51,5.11,D,0
66,10.627941,-61.316895,306.59,0.41,0.37,2/10/2021,542,N,VIIRS,n,1,292.37,0.47,N,0
67,10.409481,-61.477631,325.62,0.4,0.37,2/10/2021,542,N,VIIRS,n,1,294.22,2.13,N,0
68,10.410076,-61.481304,307.54,0.4,0.37,2/10/2021,542,N,VIIRS,n,1,294.36,2.6,N,2
